ExperimentID,Tier,Pattern,HotAccessCount,ColdAccessInterval,NUMALocalAccess,NUMARemoteAccess,DRAMAccess,PMEMAccess,MinLatency,P50Latency,P99Latency,MaxLatency,MeanLatency,MigrationMinLatency,MigrationP50Latency,MigrationP99Latency,MigrationMaxLatency,MigrationMeanLatency,LocalToRemote,RemoteToLocal,PMEMToRemote,RemoteToPMEM,LocalToPMEM,PMEMToLocal,DRAMToPMEM,PMEMToDRAM,Throughput
1,2,"uniform,uniform,uniform",1,10,,,14141,15859,25,38.4998,914.584,9555,113.151,21000,26287.3,35985.1,748577,27372.5,,,,,,,4224,2781,153736
2,2,"uniform,uniform,uniform",1,10,,,21738,8262,25,43.7009,702.875,10256,76.7647,20831,25287.9,42415.1,503774,26595.6,,,,,,,4236,1059,209605
3,2,"uniform,uniform,uniform",1,10,,,14522,15478,24,39.5301,719.733,9116,95.8106,20939,25996.4,44456.4,131951,27167.2,,,,,,,4212,2598,159674
4,2,"uniform,uniform,uniform",1,10,,,14829,15171,25,38.3622,687.875,9760,86.224,20451,25748.3,37845.4,334656,26625.6,,,,,,,4074,2626,165766
5,2,"uniform,uniform,uniform",1,10,,,17016,12984,25,43.8731,880.759,8928,117.225,20526,27495.1,37134.5,240109,28010.6,,,,,,,4197,2357,160344
6,2,"uniform,uniform,uniform",1,100,,,29797,203,23,36.1288,194.958,1093,43.4754,22361,24908.4,51148.2,115821,27500.2,,,,,,,117,0,6.63456e+06
7,2,"uniform,uniform,uniform",1,100,,,29933,67,25,35.9346,175.043,966,38.2793,25658,28667.5,54278,113277,32447.6,,,,,,,61,0,9.59176e+06
8,2,"uniform,uniform,uniform",1,100,,,29932,68,24,35.9784,183.237,802,40.8511,27725,29177.2,58488.7,133821,32980.4,,,,,,,63,0,9.08184e+06
9,2,"uniform,uniform,uniform",1,100,,,29959,41,25,36.3543,221.318,819,38.1724,26265,28526.4,105156,154896,34729.7,,,,,,,59,0,9.39195e+06
10,2,"uniform,uniform,uniform",1,100,,,29852,148,24,33.0899,145.666,14837,38.0235,25064,28651.8,38437.9,121281,30467.4,,,,,,,93,0,7.54875e+06
11,2,"uniform,uniform,uniform",1,200,,,30000,0,24,36.662,154.749,1722,39.3778,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.5395e+07
12,2,"uniform,uniform,uniform",1,200,,,30000,0,24,35.9356,75.1065,2542,35.6583,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80439e+07
13,2,"uniform,uniform,uniform",1,200,,,30000,0,24,35.7688,60.3092,4205,35.7651,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.79602e+07
14,2,"uniform,uniform,uniform",1,200,,,30000,0,24,36.1024,174.182,6263,41.7681,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.39417e+07
15,2,"uniform,uniform,uniform",1,200,,,30000,0,25,35.7605,52.6038,464,34.4635,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.90162e+07
16,2,"uniform,uniform,uniform",1,500,,,30000,0,25,35.9748,139.972,541,38.1904,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.61846e+07
17,2,"uniform,uniform,uniform",1,500,,,30000,0,25,35.8903,52.3189,515,35.6409,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80576e+07
18,2,"uniform,uniform,uniform",1,500,,,30000,0,24,35.8884,58.2773,514,36.7273,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.72277e+07
19,2,"uniform,uniform,uniform",1,500,,,30000,0,25,35.9818,173.408,550,38.44,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.60145e+07
20,2,"uniform,uniform,uniform",1,500,,,30000,0,24,36.5772,179.703,559,38.8021,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.57718e+07
21,2,"uniform,uniform,uniform",1,1000,,,30000,0,24,35.9202,95.8874,524,36.8201,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.71591e+07
22,2,"uniform,uniform,uniform",1,1000,,,30000,0,24,35.6769,232.572,4237,41.4148,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.4146e+07
23,2,"uniform,uniform,uniform",1,1000,,,30000,0,24,35.5084,79.4057,557,35.6202,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80739e+07
24,2,"uniform,uniform,uniform",1,1000,,,30000,0,24,36,139.006,465,41.6192,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.40274e+07
25,2,"uniform,uniform,uniform",1,1000,,,30000,0,24,36.3381,180.027,3430,42.9836,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.32647e+07
26,2,"uniform,uniform,uniform",5,10,,,13519,16481,25,39.8112,892.74,9921,114.266,21073,26265.1,37489.7,114547,27219.2,,,,,,,4178,2144,170933
27,2,"uniform,uniform,uniform",5,10,,,15716,14284,25,31.1928,3377.16,313561,507.236,20085,24762.3,41015.2,332925,25774.9,,,,,,,4212,1539,183544
28,2,"uniform,uniform,uniform",5,10,,,17864,12136,24,514.24,9343.03,336300,574.963,20547,24443,37122.3,372486,25516,,,,,,,4123,1163,197205
29,2,"uniform,uniform,uniform",5,10,,,16060,13940,24,42.3129,3518.98,390705,512.182,20647,24698,59444.2,3511215,26716.4,,,,,,,4152,1564,178490
30,2,"uniform,uniform,uniform",5,10,,,13683,16317,24,39.684,826.728,10312,97.3396,20652,25968.6,40395.6,522293,27045.6,,,,,,,4131,2239,171232
31,2,"uniform,uniform,uniform",5,100,,,29899,101,24,35.2862,119.84,4353,38.3273,23319,26077.4,37629.3,114835,28998.3,,,,,,,82,0,8.50418e+06
32,2,"uniform,uniform,uniform",5,100,,,29950,50,25,36.1614,137.449,4078,40.4015,23878,32538.6,94000.2,110145,39344.5,,,,,,,53,0,9.09835e+06
33,2,"uniform,uniform,uniform",5,100,,,29956,44,25,35.969,62.5264,8388,36.812,25779,33376.5,46852,114079,34379.3,,,,,,,62,0,9.27106e+06
34,2,"uniform,uniform,uniform",5,100,,,29909,91,24,35.9786,162.829,846,43.3807,24209,32341.9,86438,108415,34351.3,,,,,,,77,0,7.60173e+06
35,2,"uniform,uniform,uniform",5,100,,,29910,90,25,35.9302,134.665,708,40.2354,25056,32664.8,46409.4,114706,34549.1,,,,,,,63,0,8.86615e+06
36,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8518,110.821,550,35.7468,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.79745e+07
37,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.6141,169.78,540,35.8966,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.78578e+07
38,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8166,53.7851,547,35.5909,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80971e+07
39,2,"uniform,uniform,uniform",5,200,,,30000,0,24,35.8633,182.316,462,41.2643,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.4234e+07
40,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8818,143.868,680,41.3644,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.41754e+07
41,2,"uniform,uniform,uniform",5,500,,,30000,0,24,35.8529,94.3891,485,36.2188,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.761e+07
42,2,"uniform,uniform,uniform",5,500,,,30000,0,24,35.7403,185.762,3682,38.425,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.60247e+07
43,2,"uniform,uniform,uniform",5,500,,,30000,0,25,35.8676,55.3199,488,36.3976,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.74744e+07
44,2,"uniform,uniform,uniform",5,500,,,30000,0,25,35.8092,294.802,12619,39.7379,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.51649e+07
