ExperimentID,Tier,Pattern,HotAccessCount,ColdAccessInterval,NUMALocalAccess,NUMARemoteAccess,DRAMAccess,PMEMAccess,MinLatency,P50Latency,P99Latency,MaxLatency,MeanLatency,MigrationMinLatency,MigrationP50Latency,MigrationP99Latency,MigrationMaxLatency,MigrationMeanLatency,LocalToRemote,RemoteToLocal,PMEMToRemote,RemoteToPMEM,LocalToPMEM,PMEMToLocal,DRAMToPMEM,PMEMToDRAM,Throughput
1,2,"uniform,uniform,uniform",1,10,,,157539,142461,24,39.4315,6345.86,71001,202.347,19337,25799.5,37830.2,187326,26294.3,,,,,,,29257,26111,197815
2,2,"uniform,uniform,uniform",1,10,,,164715,135285,24,37.9904,4272.12,20522,134.409,16980,25436.4,41361.2,2284947,26388.3,,,,,,,25375,23226,226788
3,2,"uniform,uniform,uniform",1,10,,,162119,137881,24,37.0126,4244.14,23460,117.716,17031,25417.2,42126.4,4074754,26636,,,,,,,27253,25315,208984
4,2,"uniform,uniform,uniform",1,10,,,163433,136567,24,37.7972,3977.58,28726,117.772,17531,25394.5,42085.9,2667439,26731.4,,,,,,,25572,23973,220631
5,2,"uniform,uniform,uniform",1,10,,,158773,141227,24,38.6161,6077.51,40176,144.492,19633,25974.7,38369.2,1989288,26439.2,,,,,,,28498,25713,203163
6,2,"uniform,uniform,uniform",1,100,,,296905,3095,24,36.4837,4045.7,259995,88.8729,17869,26456.6,78633.4,455907,28660.2,,,,,,,736,714,4.39759e+06
7,2,"uniform,uniform,uniform",1,100,,,297409,2591,26,36.6044,4063.32,330241,92.4886,19709,31547.6,79584.9,111505,31644.8,,,,,,,549,535,4.83484e+06
8,2,"uniform,uniform,uniform",1,100,,,297154,2846,23,36.5164,4095.38,308510,89.612,19604,31464.2,76194,112606,31831.3,,,,,,,673,629,4.39059e+06
9,2,"uniform,uniform,uniform",1,100,,,295475,4525,24,36.7192,4363.99,41842,100.342,20064,24651.8,74819.3,116074,25865.2,,,,,,,1163,1100,3.38464e+06
10,2,"uniform,uniform,uniform",1,100,,,296943,3057,24,36.4446,4231.52,385715,92.6228,19139,30093.1,88770.4,353513,30324,,,,,,,723,693,4.24174e+06
11,2,"uniform,uniform,uniform",1,200,,,299848,152,24,36.4218,4339.08,276133,95.529,26425,60014,101803,111630,56921.2,,,,,,,42,39,9.01731e+06
12,2,"uniform,uniform,uniform",1,200,,,299907,93,24,35.8686,930.609,10378,48.1627,23954,58470.1,107331,125498,60456.4,,,,,,,21,20,1.77226e+07
13,2,"uniform,uniform,uniform",1,200,,,299963,37,25,36.0643,793.443,25358,46.8451,28951,94525.7,104767,109945,87482.1,,,,,,,9,7,1.94134e+07
14,2,"uniform,uniform,uniform",1,200,,,299952,48,24,35.9549,1040.8,34430,48.753,28236,95284.7,107138,112834,83795.8,,,,,,,10,8,1.8594e+07
15,2,"uniform,uniform,uniform",1,200,,,299893,107,24,34.8968,871.905,10124,48.5663,23983,58959.1,105163,124958,65989.1,,,,,,,29,25,1.65441e+07
